timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1531302984577,181850,开始投注,200,HTTP/1.1 200,CT投注 1-539,text,true,,203,0,1000,1000,181849,0,0
1531302984645,181782,开始投注,200,HTTP/1.1 200,CT投注 1-329,text,true,,203,0,1000,1000,181781,0,0
1531302984472,181955,开始投注,200,HTTP/1.1 200,CT投注 1-726,text,true,,203,0,1000,1000,181955,0,0
1531302984586,181841,开始投注,200,HTTP/1.1 200,CT投注 1-281,text,true,,203,0,1000,1000,181841,0,0
1531302984579,181849,开始投注,200,HTTP/1.1 200,CT投注 1-391,text,true,,203,0,1000,1000,181848,0,0
1531302984602,181834,开始投注,200,HTTP/1.1 200,CT投注 1-968,text,true,,203,0,1000,1000,181834,0,0
1531302984656,181782,开始投注,200,HTTP/1.1 200,CT投注 1-589,text,true,,203,0,1000,1000,181782,0,0
1531302984642,181797,开始投注,200,HTTP/1.1 200,CT投注 1-794,text,true,,203,0,1000,1000,181797,0,0
1531302984597,181846,开始投注,200,HTTP/1.1 200,CT投注 1-745,text,true,,203,0,1000,1000,181845,0,0
1531302984601,181847,开始投注,200,HTTP/1.1 200,CT投注 1-530,text,true,,203,0,1000,1000,181847,0,0
1531302984650,181803,开始投注,200,HTTP/1.1 200,CT投注 1-443,text,true,,203,0,1000,1000,181803,0,0
1531302984650,181803,开始投注,200,HTTP/1.1 200,CT投注 1-876,text,true,,203,0,1000,1000,181803,0,0
1531302984609,181845,开始投注,200,HTTP/1.1 200,CT投注 1-922,text,true,,203,0,1000,1000,181845,0,0
1531302984470,181987,开始投注,200,HTTP/1.1 200,CT投注 1-30,text,true,,203,0,1000,1000,181987,0,0
1531302984589,181871,开始投注,200,HTTP/1.1 200,CT投注 1-397,text,true,,203,0,1000,1000,181871,0,0
1531302984594,181867,开始投注,200,HTTP/1.1 200,CT投注 1-273,text,true,,203,0,1000,1000,181867,0,0
1531302984647,181819,开始投注,200,HTTP/1.1 200,CT投注 1-590,text,true,,203,0,1000,1000,181819,0,0
1531302984566,181900,开始投注,200,HTTP/1.1 200,CT投注 1-790,text,true,,203,0,1000,1000,181900,0,0
1531302984574,181895,开始投注,200,HTTP/1.1 200,CT投注 1-401,text,true,,203,0,1000,1000,181895,0,0
1531302984598,181871,开始投注,200,HTTP/1.1 200,CT投注 1-289,text,true,,203,0,1000,1000,181871,0,0
1531302984478,181993,开始投注,200,HTTP/1.1 200,CT投注 1-497,text,true,,203,0,1000,1000,181993,0,0
1531302984453,182019,开始投注,200,HTTP/1.1 200,CT投注 1-584,text,true,,203,0,1000,1000,182019,0,0
1531302984566,181913,开始投注,200,HTTP/1.1 200,CT投注 1-262,text,true,,203,0,1000,1000,181913,0,0
1531302984648,181836,开始投注,200,HTTP/1.1 200,CT投注 1-946,text,true,,203,0,1000,1000,181836,0,0
1531302984646,181844,开始投注,200,HTTP/1.1 200,CT投注 1-761,text,true,,203,0,1000,1000,181844,0,0
1531302984611,181881,开始投注,200,HTTP/1.1 200,CT投注 1-437,text,true,,203,0,1000,1000,181881,0,0
1531302984463,182034,开始投注,200,HTTP/1.1 200,CT投注 1-348,text,true,,203,0,1000,1000,182034,0,0
1531302984598,181905,开始投注,200,HTTP/1.1 200,CT投注 1-412,text,true,,203,0,1000,1000,181905,0,0
1531302984657,181850,开始投注,200,HTTP/1.1 200,CT投注 1-871,text,true,,203,0,1000,1000,181850,0,0
1531302984469,182042,开始投注,200,HTTP/1.1 200,CT投注 1-325,text,true,,203,0,1000,1000,182042,0,0
1531302984526,181986,开始投注,200,HTTP/1.1 200,CT投注 1-470,text,true,,203,0,1000,1000,181986,0,0
1531302984481,182034,开始投注,200,HTTP/1.1 200,CT投注 1-562,text,true,,203,0,1000,1000,182034,0,0
1531302984590,181932,开始投注,200,HTTP/1.1 200,CT投注 1-302,text,true,,203,0,1000,1000,181932,0,0
1531302984521,182010,开始投注,200,HTTP/1.1 200,CT投注 1-652,text,true,,203,0,1000,1000,182010,0,0
1531302984472,182087,开始投注,200,HTTP/1.1 200,CT投注 1-253,text,true,,203,0,1000,1000,182087,0,0
1531302984526,182033,开始投注,200,HTTP/1.1 200,CT投注 1-561,text,true,,203,0,1000,1000,182033,0,0
1531302984622,181941,开始投注,200,HTTP/1.1 200,CT投注 1-703,text,true,,203,0,1000,1000,181941,0,0
1531302984623,181949,开始投注,200,HTTP/1.1 200,CT投注 1-872,text,true,,203,0,1000,1000,181949,0,0
1531302984497,182075,开始投注,200,HTTP/1.1 200,CT投注 1-394,text,true,,203,0,1000,1000,182075,0,0
1531302984448,182127,开始投注,200,HTTP/1.1 200,CT投注 1-305,text,true,,203,0,1000,1000,182127,0,0
1531302984490,182087,开始投注,200,HTTP/1.1 200,CT投注 1-417,text,true,,203,0,1000,1000,182087,0,0
1531302984622,181959,开始投注,200,HTTP/1.1 200,CT投注 1-344,text,true,,203,0,1000,1000,181959,0,0
1531302984651,181934,开始投注,200,HTTP/1.1 200,CT投注 1-628,text,true,,203,0,1000,1000,181934,0,0
1531302984483,182113,开始投注,200,HTTP/1.1 200,CT投注 1-251,text,true,,203,0,1000,1000,182113,0,0
1531302984490,182113,开始投注,200,HTTP/1.1 200,CT投注 1-493,text,true,,203,0,1000,1000,182113,0,0
1531302984526,182078,开始投注,200,HTTP/1.1 200,CT投注 1-292,text,true,,203,0,1000,1000,182078,0,0
1531302984655,181951,开始投注,200,HTTP/1.1 200,CT投注 1-618,text,true,,203,0,1000,1000,181951,0,0
1531302984507,182100,开始投注,200,HTTP/1.1 200,CT投注 1-954,text,true,,203,0,1000,1000,182100,0,0
1531302984592,182019,开始投注,200,HTTP/1.1 200,CT投注 1-374,text,true,,203,0,1000,1000,182019,0,0
1531302984620,182001,开始投注,200,HTTP/1.1 200,CT投注 1-484,text,true,,203,0,1000,1000,182001,0,0
1531302984615,182013,开始投注,200,HTTP/1.1 200,CT投注 1-468,text,true,,203,0,1000,1000,182013,0,0
1531302984518,182128,开始投注,200,HTTP/1.1 200,CT投注 1-559,text,true,,203,0,1000,1000,182128,0,0
1531302984514,182147,开始投注,200,HTTP/1.1 200,CT投注 1-312,text,true,,203,0,1000,1000,182146,0,0
1531302984619,182058,开始投注,200,HTTP/1.1 200,CT投注 1-54,text,true,,203,0,1000,1000,182058,0,0
1531302984576,237302,开始投注,200,HTTP/1.1 200,CT投注 1-839,text,true,,188,0,1000,1000,237302,0,0
1531302984435,237474,开始投注,200,HTTP/1.1 200,CT投注 1-218,text,true,,179,0,1000,1000,237474,0,0
1531302984445,237626,开始投注,200,HTTP/1.1 200,CT投注 1-557,text,true,,179,0,1000,1000,237626,0,0
1531302984586,237861,开始投注,200,HTTP/1.1 200,CT投注 1-683,text,true,,188,0,1000,1000,237861,0,0
1531302984592,238125,开始投注,200,HTTP/1.1 200,CT投注 1-420,text,true,,188,0,1000,1000,238125,0,0
1531302984487,238244,开始投注,200,HTTP/1.1 200,CT投注 1-314,text,true,,179,0,1000,1000,238244,0,0
1531302984489,238272,开始投注,200,HTTP/1.1 200,CT投注 1-110,text,true,,179,0,1000,1000,238272,0,0
1531302984597,238178,开始投注,200,HTTP/1.1 200,CT投注 1-359,text,true,,188,0,1000,1000,238178,0,0
1531302984493,238306,开始投注,200,HTTP/1.1 200,CT投注 1-476,text,true,,179,0,1000,1000,238306,0,0
1531302984597,238236,开始投注,200,HTTP/1.1 200,CT投注 1-474,text,true,,188,0,1000,1000,238236,0,0
1531302984600,238325,开始投注,200,HTTP/1.1 200,CT投注 1-610,text,true,,188,0,1000,1000,238325,0,0
1531302984599,238373,开始投注,200,HTTP/1.1 200,CT投注 1-485,text,true,,188,0,1000,1000,238373,0,0
1531302984604,238414,开始投注,200,HTTP/1.1 200,CT投注 1-687,text,true,,188,0,1000,1000,238414,0,0
1531302984607,238428,开始投注,200,HTTP/1.1 200,CT投注 1-955,text,true,,188,0,1000,1000,238428,0,0
1531302984499,238540,开始投注,200,HTTP/1.1 200,CT投注 1-738,text,true,,179,0,1000,1000,238540,0,0
1531302984608,238433,开始投注,200,HTTP/1.1 200,CT投注 1-287,text,true,,188,0,1000,1000,238433,0,0
1531302984604,238444,开始投注,200,HTTP/1.1 200,CT投注 1-272,text,true,,188,0,1000,1000,238444,0,0
1531302984608,238446,开始投注,200,HTTP/1.1 200,CT投注 1-847,text,true,,188,0,1000,1000,238446,0,0
1531302984609,238475,开始投注,200,HTTP/1.1 200,CT投注 1-461,text,true,,188,0,1000,1000,238475,0,0
1531302984499,238608,开始投注,200,HTTP/1.1 200,CT投注 1-844,text,true,,179,0,1000,1000,238608,0,0
